0.00000000e+00	0.00000000e+00	-0.00000000e+00
9.99999978e-03	-9.99998974e-06	-9.99998974e-06
1.99999996e-02	-3.99998389e-05	-3.99998389e-05
2.99999993e-02	-8.99991865e-05	-8.99991865e-05
3.99999991e-02	-1.59997435e-04	-1.59997435e-04
5.00000007e-02	-2.49993755e-04	-2.49993755e-04
5.99999987e-02	-3.59987025e-04	-3.59987025e-04
7.00000003e-02	-4.89976024e-04	-4.89976024e-04
7.99999982e-02	-6.39959006e-04	-6.39959006e-04
9.00000036e-02	-8.09934398e-04	-8.09934398e-04
1.00000001e-01	-9.99900047e-04	-9.99900047e-04
1.09999999e-01	-1.20985357e-03	-1.20985357e-03
1.19999997e-01	-1.43979269e-03	-1.43979269e-03
1.29999995e-01	-1.68971438e-03	-1.68971438e-03
1.40000001e-01	-1.95961609e-03	-1.95961609e-03
1.50000006e-01	-2.24949396e-03	-2.24949396e-03
1.59999996e-01	-2.55934498e-03	-2.55934498e-03
1.70000002e-01	-2.88916542e-03	-2.88916542e-03
1.80000007e-01	-3.23895109e-03	-3.23895109e-03
1.89999998e-01	-3.60869779e-03	-3.60869779e-03
2.00000003e-01	-3.99840157e-03	-3.99840157e-03
2.09999993e-01	-4.40805685e-03	-4.40805685e-03
2.19999999e-01	-4.83765965e-03	-4.83765965e-03
2.30000004e-01	-5.28720487e-03	-5.28720487e-03
2.39999995e-01	-5.75668598e-03	-5.75668598e-03
2.50000000e-01	-6.24609878e-03	-6.24609878e-03
2.59999990e-01	-6.75543630e-03	-6.75543630e-03
2.70000011e-01	-7.28469389e-03	-7.28469389e-03
2.80000001e-01	-7.83386361e-03	-7.83386361e-03
2.89999992e-01	-8.40293802e-03	-8.40293802e-03
3.00000012e-01	-8.99191480e-03	-8.99191480e-03
3.10000002e-01	-9.60078277e-03	-9.60078277e-03
3.19999993e-01	-1.02295354e-02	-1.02295354e-02
3.30000013e-01	-1.08781680e-02	-1.08781680e-02
3.40000004e-01	-1.15466677e-02	-1.15466677e-02
3.49999994e-01	-1.22350296e-02	-1.22350296e-02
3.60000014e-01	-1.29432473e-02	-1.29432473e-02
3.70000005e-01	-1.36713106e-02	-1.36713106e-02
3.79999995e-01	-1.44192083e-02	-1.44192083e-02
3.89999986e-01	-1.51869338e-02	-1.51869338e-02
4.00000006e-01	-1.59744825e-02	-1.59744825e-02
4.09999996e-01	-1.67818367e-02	-1.67818367e-02
4.19999987e-01	-1.76089909e-02	-1.76089909e-02
4.30000007e-01	-1.84559375e-02	-1.84559375e-02
4.39999998e-01	-1.93226635e-02	-1.93226635e-02
