-5, 58, 3.50402
14, -23, 3.50402
8, 51, 3.50402
-22, -10, 3.50402
69, -12, 3.50402
-5, -34, 3.50402
14, -20, 3.50402
-37, -13, 3.50402
27, -29, 3.50402
9, -15, 3.50402
-12, 6, 3.50402
-4, 19, 3.50402
49, -38, 3.50402
-27, 17, 3.50402
-27, 3, 3.50402
-12, 1, 3.50402
16, -31, 3.50402
15, -3, 3.50402
70, -37, 3.50402
30, -42, 3.50402
18, 18, 3.50402
5, 38, 3.50402
10, 69, 3.50402
-21, 32, 3.50402
-15, 24, 3.50402
6, 52, 3.50402
-10, -30, 3.50402
-57, -90, 3.50402
36, -25, 3.50402
9, 36, 3.50402
-26, -16, 3.50402
8, -21, 3.50402
13, 21, 3.50402
43, -7, 3.50402
-20, 24, 3.50402
-37, -15, 3.50402
42, -11, 3.50402
4, -5, 3.50402
-12, -14, 3.50402
-12, 18, 3.50402
-25, 10, 3.50402
58, 24, 3.50402
42, 64, 3.50402
34, -22, 3.50402
-30, 20, 3.50402
-48, -26, 3.50402
21, 49, 3.50402
-3, -29, 3.50402
48, -28, 3.50402
-48, -1, 3.50402
27, 36, 3.50402
25, -14, 3.50402
-39, 38, 3.50402
13, 43, 3.50402
7, -66, 3.50402
9, -19, 3.50402
-3, 21, 3.50402
-12, 56, 3.50402
38, 56, 3.50402
-32, 74, 3.50402
-27, 5, 3.50402
-61, -7, 3.50402
-4, -15, 3.50402
-21, 33, 3.50402
33, -17, 3.50402
-17, 34, 3.50402
22, 49, 3.50402
14, -21, 3.50402
-23, 96, 3.50402
-32, 10, 3.50402
29, 72, 3.50402
0, -42, 3.50402
3, 9, 3.50402
74, 35, 3.50402
-14, -16, 3.50402
14, 15, 3.50402
-45, -5, 3.50402
95, -3, 3.50402
-52, 5, 3.50402
32, -43, 3.50402
-2, -12, 3.50402
-66, -21, 3.50402
50, -27, 3.50402
31, 98, 3.50402
0, 27, 3.50402
-1, -48, 3.50402
-44, 5, 3.50402
-40, -39, 3.50402
4, -9, 3.50402
14, -48, 3.50402
58, -11, 3.50402
58, 9, 3.50402
-13, -27, 3.50402
49, 17, 3.50402
-15, 36, 3.50402
-85, 26, 3.50402
41, -20, 3.50402
-12, 35, 3.50402
-23, 5, 3.50402
1, 59, 3.50402
5, 43, 3.50402
-35, 1, 3.50402
81, 5, 3.50402
83, -8, 3.50402
20, 60, 3.50402
5, 21, 3.50402
-7, 44, 3.50402
-56, -41, 3.50402
5, 37, 3.50402
27, 37, 3.50402
-7, 37, 3.50402
-60, -18, 3.50402
-29, 8, 3.50402
71, -29, 3.50402
9, -9, 3.50402
-17, -10, 3.50402
37, 47, 3.50402
31, -14, 3.50402
-50, 92, 3.50402
9, 4, 3.50402
36, 34, 3.50402
5, -1, 3.50402
-67, 73, 3.50402
26, -9, 3.50402
64, -18, 3.50402
36, -54, 3.50402
-18, -69, 3.50402
-90, 48, 3.50402
38, -17, 3.50402
8, -66, 3.50402
-22, -26, 3.50402
4, 1, 3.50402
45, -13, 3.50402
-18, -57, 3.50402
72, -7, 3.50402
28, -6, 3.50402
